Speaker,Transcription,Transactivity,Regulation,dialog_id,Transactivity 
G,OK.,QC,F,SE1 11.30,
K,But I don't know. What do you think?,ELI,F,SE1 11.30,
H,"Because we just mentioned the problems up here already, right? The problems in online learning, collaborative learning and how there are problems with emotion regulation just before.",EXT,P,SE1 11.30,
K,Yeah.,QC,P,SE1 11.30,
G,Maybe this question we should ask (inaudible).,EXT,F,SE1 11.30,
H,"Yeah, I guess it's somewhere we can integrate it together with this yellow highlight part.",INT,F,SE1 11.30,
G,Mhm.,QC,F,SE1 11.30,
K,Yeah.,QC,F,SE1 11.30,
H,"I think this was trying to say what we are going to do in this article, which is something like a research question but it's not phrased in the sense.",INT,P,SE1 11.30,
K,(inaudible) the notes here that we know what to do.,EXT,P,SE1 11.30,
H,"Yeah, maybe you could put a different color , because- yeah.",QC,P,SE1 11.30,
K,Yeah.,QC,P,SE1 11.30,
H,"Yeah, put the- that same color is anything that we need to add onto here.",QC,P,SE1 11.30,
G,"I created, uh, a document of questions for Essi. And now try to note down some questions that arise during our conversation.",EXT,P,SE1 11.30,
H,"I think, uh, K, you can highlight the pink part for the linking paragraphs or like anything that's (inaudible).",EXT,P,SE1 11.30,
G,Mhm.,QC,P,SE1 11.30,
H,Yeah.,QC,P,SE1 11.30,
K,"Alright. Uhm, this deals with emotional regulation again. This is from-",EXT,P,SE1 11.30,
H,"Yeah, (inaudible) this part.",QC,P,SE1 11.30,
K,So…,EXT,P,SE1 11.30,
H,He gave a small introduction on emotions again.,QC,P,SE1 11.30,
K,"Yeah, should we delete it or should we remove it?",ELI,P,SE1 11.30,
G,"Uh, we should highlight in yellow and ask maybe K.",INT,P,SE1 11.30,
K,Yeah. OK. Uhm?,QC,P,SE1 11.30,
H,"(inaudible) this entire part. Because I think he might have done his part, um independently, like without knowing what we did on top and below. That's why he thought he needed a header to lead into his part.",EXT,P,SE1 11.30,
K,Yeah. This is repeated content. ,QC,P,SE1 11.30,
H,"Well, I guess like if we want to remove it, that's fine too. Or if we want to integrate it into our part, that’s fine as well.",EXT,P,SE1 11.30,
K,"Then, this part is… I think OK? Have you read through it?",ELI,P,SE1 11.30,
H,"I’ve briefly read through. Yeah, it was from the shared regulation.",QC,P,SE1 11.30,
K,"Yeah, the um, the only thing that I can see is that we should have a look at the citation he makes because they are like-",CON,P,SE1 11.30,
G,"Yeah, yes yes yes yes, it's not APA style.",QC,P,SE1 11.30,
K,Yeah.,QC,P,SE1 11.30,
K,I'm just…,EXT,,SE1 11.30,
H,Then comma after the… (inaudible),EXT,,SE1 11.30,
K,I’ll just make a comment and then he can… ,EXT,F,SE1 11.30,
H,"Yeah, maybe we can just say check the citation.",QC,F,SE1 11.30,
K,“Be careful with citations…”,EXT,F,SE1 11.30,
G,"Like laters (Reading authors), usually it's et al.",EXT,P,SE1 11.30,
H,"Et al. Yeah, I think he use a different, not APA.",QC,P,SE1 11.30,
G,"Yeah, APA 7th I used.",QC,P,SE1 11.30,
K,"Yeah. Okay. And this was your part, H?",ELI,P,SE1 11.30,
H,Yeah.,QC,P,SE1 11.30,
K,"This looks good to me. Yeah, I don't have anything…",EXT,P,SE1 11.30,
H,"Yeah, you can just change it.",QC,P,SE1 11.30,
G,Uh-huh,QC,,SE1 11.30,
K,I think we're doing well.,EXT,R,SE1 11.30,
H,"Yeah, it's good.",QC,R,SE1 11.30,
A,Yeah.,QC,R,SE1 11.30,
H,So maybe you can copy the research question part and bring it up to the higher- the…,ELI,F,SE1 11.30,
G,"After the introduction or at the end of the introduction, yes? Or where? ",ELI,F,SE1 11.30,
H,"We are going to put the research question on a yellow part, right?",ELI,F,SE1 11.30,
K,Yeah.,QC,F,SE1 11.30,
G,"But I highlighted this in- in questions for Essi. Don't worry, we ask.",EXT,F,SE1 11.30,
K,"Sorry, G, what do you mean?",ELI,F,SE1 11.30,
G,"Ah, I created a new document, questions for Essi and now I make some minutes, what we should ask Essi on Thursday.",EXT,F,SE1 11.30,
K,Mhm.,QC,F,SE1 11.30,
H,So you're asking us if- what question-,ELI,F,SE1 11.30,
G,"No, I just ask where we should-",QC,F,SE1 11.30,
H,Put the-,ELI,F,SE1 11.30,
G,"Put the- yes, put the research question.",ELI,F,SE1 11.30,
A,Mhm,QC,F,SE1 11.30,
H,"Ah, OK.",QC,F,SE1 11.30,
G,"Maybe, for example, it should be after emotion regulation. Or- because I'm not sure, that's why I want to ask you.",EXT,F,SE1 11.30,
A,OK.,QC,F,SE1 11.30,
H,Do we need a part about tech- just a short part about technological tools? Or that will be the… main body?,ELI,P,SE1 11.30,
A,I think…,EXT,P,SE1 11.30,
G,"Actually, I think about… For example, we can share. We can divide between us some tools. Uh, and describe it, but I have a question. Do we have a criteria? How can we… analyze it?",ELI,P,SE1 11.30,
K,"What do you mean with analyze it? So, uh-",ELI,P,SE1 11.30,
G,"By which I mean by which criteria we should go by when we analyze each tool. For, for example, a criteria, uh, it's user friendly, and uh… I don't know what else criteria can be. Is it acceptable or?",ELI,P,SE1 11.30,
K,"I thought that we wanted to- to split the tools into two parts, like the one part is dealing with, um- ",EXT,P,SE1 11.30,
G,Teachers and students?,ELI,P,SE1 11.30,
K,"Teachers, yeah and the other one would be students.",EXT,P,SE1 11.30,
G,"Ah, OK, maybe.",QC,P,SE1 11.30,
A,"Maybe, uh. Should I maybe mention some examples of like a- in my part when I mentioned how, um. Yeah, there- there have been tools that have had success in the conventional classroom, but maybe not in an online collaborative environment. Should I mention those as examples, like this stuff that had success in… Or you think it's- I don't know.",ELI,P,SE1 11.30,
G,"And really, yes, that's the question, where we would like to use these tools in an online environment. Or in a face-to-face environment.",INT,P,SE1 11.30,
A,I thought we were-,QC,P,SE1 11.30,
G,Online.,QC,P,SE1 11.30,
K,Online.,QC,P,SE1 11.30,
G,Uh-huh.,QC,P,SE1 11.30,
A,Yeah.,QC,P,SE1 11.30,
H,"So the research question, do we need to put, uh- online- of the collaborative learning? (inaudible) technological tools or facilitate.",ELI,P,SE1 11.30,
K,Umm? In-,EXT,P,SE1 11.30,
H,"Virtual learning, virtual setting?",ELI,P,SE1 11.30,
K,Virtual learning environments. Yeah. OK.,QC,P,SE1 11.30,
G,"So, as I understand, each tool, uh, can be considered through 2 dimensions, teachers and students, yes?",ELI,P,SE1 11.30,
H,"So I'm thinking, (inaudible) there's so many things to say about that.",EXT,P,SE1 11.30,
K,"I think maybe we should, erm, decide on which tech- which technological tools we would like to focus on.",INT,F,SE1 11.30,
A,Yeah.,QC,F,SE1 11.30,
K,"What do you think about if every one of us just presents one tool, so everybody picks a tool and then describes it.",ELI,F,SE1 11.30,
G,"Yes, maybe.",QC,F,SE1 11.30,
H,"So I think in the Excel sheet there were a few already, right?",ELI,P,SE1 11.30,
K,Yeah.,QC,P,SE1 11.30,
G,"EMODA, EMODA as I know.",QC,P,SE1 11.30,
K,"Uhm? Right, I will have a look.",EXT,F,SE1 11.30,
G,"I asked my classmates, and they’re from different groups, about the methodology they used in- in their articles and they said me, one group said to me that, uh, they try to create a new tool, some kind of new tool.",EXT,,SE1 11.30,
A,Really?,ELI,,SE1 11.30,
G,"Based on existing ones, yes.",EXT,,SE1 11.30,
K,Wow.,QC,,SE1 11.30,
H,So they made recommendations.,QC,,SE1 11.30,
G,"Yes, yes, made some recommendations.",QC,,SE1 11.30,
K,"But we can also- can we write like our- or can we present our tools as the method? Like the methodology part? Like that this is our method, the different tools and then the conclusion and discussion are about our own experiences with these tools, for example, or with FROCOLE for example.",ELI,F,SE1 11.30,
G,I think FROCOLE should be included in our tools as well.,INT,F,SE1 11.30,
K,Yeah.,QC,F,SE1 11.30,
H,"FROCOLE will be one of the tools. I think maybe we can just look at the the one technology tools. Because this one, some of them are not specifically emotional regulation.",CON,F,SE1 11.30,
K,Umm.,QC,F,SE1 11.30,
H,That's why I extracted the main ones in technological tools in the previous one. So this- this (inaudible) NCST and as regulation.,CON,F,SE1 11.30,
K,Yeah.,QC,F,SE1 11.30,
K,"Then radar, reflector… This would be 7 tools.",EXT,F,SE1 11.30,
H,"Yeah, so I think we can choose the main- the- those that are more targeted at emotions-",INT,F,SE1 11.30,
G,"Emotion, yes.",QC,F,SE1 11.30,
H,(inaudible) also sell regulation learning.,INT,F,SE1 11.30,
K,"Yeah, so it would be EMODA for example. Maybe this one?",ELI,F,SE1 11.30,
G,I'm not sure about Qridi.,CON,F,SE1 11.30,
K,"I think I put it there, it was uhm. The whole study was about Qridi.  And it was a different tool (inaudible).",EXT,,SE1 11.30,
G,"Yes, it's a like, a, model metrics.",QC,,SE1 11.30,
K,Yeah.,QC,,SE1 11.30,
H,Is it like the focal metrics that we had?,ELI,,SE1 11.30,
G,"No, no, no. It's means (inaudible) metrical. For example, heart rate or different impulses into your body, skin, skin metrics.",EXT,,SE1 11.30,
H,"Oh, OK.",QC,,SE1 11.30,
K,These are all peer assessment tools. ,INT,,SE1 11.30,
H,"Yeah. Radar and Reflector, they are- like kind of together.",INT,,SE1 11.30,
K,Yeah.,QC,,SE1 11.30,
H,Maybe we can- I think the first- first or second one is quite… Emotion.,INT,,SE1 11.30,
G,I just highlighted in green.,EXT,P,SE1 11.30,
K,Yeah.,QC,P,SE1 11.30,
H,"The second one was not specifically emotions. It involves like different aspects, work motivation, emotions and cognition and then they read on the traffic light. But it's the same- similar idea where we read our own self, and enrich our group and then we'll see.",EXT,,SE1 11.30,
K,So we can put (inaudible) Radar- are you talking about Radar?,ELI,F,SE1 11.30,
H,"Um, no. The one just on- the second one.",CON,,SE1 11.30,
K,"Oh, this one?",ELI,,SE1 11.30,
H,"Uh, yeah.",QC,,SE1 11.30,
K,We can put Radar or FROCOLE for example.,EXT,F,SE1 11.30,
H,"Yeah, I think we can compare it to FROCOLE like how a traffic light- is it more visual or something but no- the underlying basis is the same. So in discussion maybe we can talk about the underlying basis depth. Or these users or something? I don’t know (inaudible). ",INT,F,SE1 11.30,
K,Mhm. Yeah.,QC,F,SE1 11.30,
H,"Yeah. We need (inaudible) four, right? One of them is FROCOLE right? Maybe you can write FROCOLE and (inaudible).",ELI,F,SE1 11.30,
K,Yeah.,QC,F,SE1 11.30,
G,"So, as I see, uh, now we can have- with FROCOLE- four tools.",INT,F,SE1 11.30,
H,OK.,QC,F,SE1 11.30,
G,"Uh, that we can explain and also, uh, one of us can explain other tools like Radar or Reflector or Qridi. Just make some summary of other tools.",INT,F,SE1 11.30,
K,"Yeah, that's awesome.",QC,F,SE1 11.30,
H,Or we don't exactly need to have five tools because that is quite a lot. Right? We don't need to have one person one tool.,CON,F,SE1 11.30,
G,"What, can you repeat please?",ELI,F,SE1 11.30,
H,"Uh, we don't need to have five tools because that might be a lot- I'm not sure.",CON,F,SE1 11.30,
G,Mhm.,QC,F,SE1 11.30,
H,Maybe four?  I don't know.,ELI,F,SE1 11.30,
A,Yeah.,QC,F,SE1 11.30,
H,Is 5 a lot or?,ELI,F,SE1 11.30,
A,I was thinking 5 is a lot.,CON,F,SE1 11.30,
H,Yeah. I think we should go with around 3. Normally in examples there was three case studies or three cases.,CON,F,SE1 11.30,
K,Yeah.,QC,F,SE1 11.30,
A,I think 3 is a nice number.,CON,F,SE1 11.30,
H,"Yeah, so maybe 3-4- four is OK.",CON,F,SE1 11.30,
G,"OK, for- for- for our goal is one of four.",INT,F,SE1 11.30,
K,Sounds great.,QC,F,SE1 11.30,
H,"Or like are there any ones that are quite similar, then we can drop off?",ELI,F,SE1 11.30,
K,"Uhm? No, I don't think so because they are, umm, focusing on different parts of the like, like…",CON,F,SE1 11.30,
H,Oh OK.,QC,F,SE1 11.30,
G,Aspects dimension.,EXT,F,SE1 11.30,
K,"Uh, yeah.",QC,F,SE1 11.30,
H,"OK, so then we can do- four. And maybe the last person can work a bit more on the discussion or something- I don't know.",INT,F,SE1 11.30,
K,"Yeah, and we can also ask Essi on Thursday about the discussion,  what she thinks is best to write in the discussion.",INT,F,SE1 11.30,
H,"Uh, yeah.",QC,F,SE1 11.30,
A,Yeah.,QC,F,SE1 11.30,
K,We should put our own experiences or our own thoughts in it. Or how we should do it.,EXT,F,SE1 11.30,
G,"Also, again, a suggestion, as I said earlier, just create criteria- (inaudible)-  Criteria in place. Maybe I can create before Thursday? Sorry, just a moment... It's- it's a kid.",CON,F,SE1 11.30,
G,"So I, I can suggest that till Thursday I can create- or maybe think about some… template, how we can analyze each tool.",INT,F,SE1 11.30,
K,OK.,QC,F,SE1 11.30,
G,"For example, target groups, what else, size, maybe it's-",ELI,F,SE1 11.30,
K,Maybe also the educational benefit of the tool?,ELI,F,SE1 11.30,
A,Mhm,QC,F,SE1 11.30,
G,"Yes, yes, my build is- I think then we analyze each tool. We should follow one guideline- guidance.",INT,F,SE1 11.30,
K,"Yeah, that's a good idea, and it's true.",QC,F,SE1 11.30,
H,Uh-huh.,QC,F,SE1 11.30,
G,"Because it's easy to compare after that in discussion. For
example, each tools.",INT,F,SE1 11.30,
A,Yeah. Definitely.,QC,F,SE1 11.30,
H,OK. Sure.,QC,F,SE1 11.30,
K,"Yeah, I can also think about it. Maybe we can do a document and then we can discuss this on-",INT,F,SE1 11.30,
H,Put in the different categories we want.,EXT,F,SE1 11.30,
K,Yeah. And then we can discuss this on Thursday.,INT,F,SE1 11.30,
G,Uh-huh.,QC,F,SE1 11.30,
A,Yeah.,QC,F,SE1 11.30,
G,"Okay, which document at the moment?",ELI,F,SE1 11.30,
H,"So are we going to split the different, um, tools?",ELI,F,SE1 11.30,
G,Yes. I would prefer maybe EMODA. If you don't have any-,EXT,F,SE1 11.30,
K,"Yeah, sure you can do it ",QC,F,SE1 11.30,
G,Any wishes ,ELI,F,SE1 11.30,
A,I'm OK with whatever.,EXT,F,SE1 11.30,
K,"H, do you have any preferences? ",ELI,F,SE1 11.30,
H,I think I kind of forgot so ,EXT,F,SE1 11.30,
H,"What was, uh, can I see the excel sheet again? I forgot (inaudible).",ELI,F,SE1 11.30,
K,"Yeah, right.",QC,F,SE1 11.30,
H,Maybe the first one? Is it the drop down- menu things?,ELI,F,SE1 11.30,
K,"I can share again, wait a moment.",QC,F,SE1 11.30,
H,"Yes, yes.",QC,F,SE1 11.30,
K,Here?,ELI,F,SE1 11.30,
H,"Yeah. So you can move up. I think I was- I don't know- OK, I can do the first one then.",QC,F,SE1 11.30,
K,"A, which one do you want to go with, this one? I'll just-",ELI,F,SE1 11.30,
A,You pick. You can pick first and then…,EXT,F,SE1 11.30,
K,"Uh, then I would go with this one I think.",EXT,F,SE1 11.30,
A,OK.,QC,F,SE1 11.30,
H,So you can do FROCOLE then.,ELI,F,SE1 11.30,
A,"OK, sounds good.",QC,F,SE1 11.30,
K,And what should we do with K?,ELI,F,SE1 11.30,
A,Ask him? In the- or- or just assign him one.,ELI,F,SE1 11.30,
H,Or he could work on the discussion?,ELI,F,SE1 11.30,
K,"Yeah, yeah, that's true.",QC,F,SE1 11.30,
H,Or something?,ELI,F,SE1 11.30,
A,"Alright, 'cause we're- we're only going to do 3, right?",ELI,F,SE1 11.30,
H,"Wait, wait, sorry?",ELI,F,SE1 11.30,
A,We're only doing 4 tools.,EXT,F,SE1 11.30,
H,Yeah.,QC,F,SE1 11.30,
K,Yeah.,QC,F,SE1 11.30,
A,"Yeah, OK. So then- yeah.",QC,F,SE1 11.30,
K,And then I will write this down here.,EXT,F,SE1 11.30,
G,I can suggest for him- to read again- our writing. And make it coherent.,EXT,F,SE1 11.30,
H,"OK, OK, yes.",QC,F,SE1 11.30,
A,"But umm. This is for like next week, right? Not the next meeting.",ELI,F,SE1 11.30,
K,"For next week, yeah.",QC,F,SE1 11.30,
A,"OK, but- so I think, uh, but Thursday we're going to be
meeting with, umm…",ELI,F,SE1 11.30,
H,Essi.,QC,F,SE1 11.30,
G,"Essi, and uh, and ask some questions.",ELI,F,SE1 11.30,
A,"So then yeah, by then, I'll also. I'll finish up my- like- final editing and stuff, and maybe add another paragraph or so to my- to the forms. And make it more coherent.",QC,F,SE1 11.30,
K,"Sorry, I was- my Internet connection was bad. What did you say right now? ",ELI,,SE1 11.30,
A,"Uhm? No, I was just saying that by- by Thursday, I'll, like, finalize my part for the- the problems and challenges, yeah.",EXT,F,SE1 11.30,
K,Yeah.,QC,F,SE1 11.30,
G,Uh-huh.,QC,F,SE1 11.30,
K,"(inaudible) we still have time. And by the way, I would like to let you know that on the… Let me see… Monday in a week. Uh, I won't be available until 13th of December because I will be in Lapland.",EXT,F,SE1 11.30,
G,"Uh, which- which date?",ELI,F,SE1 11.30,
K,"Uh, until the 13th. ",EXT,F,SE1 11.30,
G,"13, OK.",QC,F,SE1 11.30,
K,"Yeah, there (inaudible).",QC,F,SE1 11.30,
H,"I think that we’ll be like- we are almost done already, so-",EXT,P,SE1 11.30,
G,Yes.,QC,P,SE1 11.30,
H,"I think on the- on that week just (inaudible) for the closing, right?",ELI,P,SE1 11.30,
K,On Friday 17th.,EXT,P,SE1 11.30,
H,"Yeah, I, I think it's the end of the course or something.",EXT,P,SE1 11.30,
K,"Yeah, do we have to present anything for this course? Like
do a presentation about our article?",ELI,P,SE1 11.30,
G,I'm not sure.,EXT,P,SE1 11.30,
H,"Do they show in the- there was a document, in the front? Where I did the collaborative stage.",ELI,P,SE1 11.30,
K,"Sorry, what did you say, H?",ELI,P,SE1 11.30,
H,"Uh, in the collaborative stage the, the, the, like the course group. I think there was a document that shows, like, the different weeks, what's happening.",EXT,P,SE1 11.30,
K,Mhm.,QC,P,SE1 11.30,
H,Maybe you can check whether they mentioned something about…,ELI,P,SE1 11.30,
K,Yeah.,QC,P,SE1 11.30,
G,"But I have one question, how K can analyze discussion and limitation without our- our analysis of tools?",ELI,F,SE1 11.30,
K,Umm? ,QC,F,SE1 11.30,
H,"So, he has to do it later, I think.",EXT,F,SE1 11.30,
K,Yeah.,QC,F,SE1 11.30,
G,"But now, maybe- maybe he can read again the- our writing.",CON,F,SE1 11.30,
H,"Yeah, and then he can do uh- the, the pink parts, like the linking paragraphs.",INT,F,SE1 11.30,
G,Uh-huh.,QC,F,SE1 11.30,
K,"That's a good idea, yeah.",QC,F,SE1 11.30,
H,"And the writing- the research questions. You know, where we want (inaudible) with Essi on Thursday and- and he can proceed with that, I guess.",EXT,F,SE1 11.30,
K,Yeah.,QC,F,SE1 11.30,
G,Uh-huh.,QC,F,SE1 11.30,
K,So I can't remember the 4th tool. I just tried my (inaudible). I will have a look at it later. OK. Alright.,EXT,F,SE1 11.30,
H,"So then, we are- after we are done with the tools, we just need to go into discussion and conclusion and I guess we are done with the paper.",EXT,F,SE1 11.30,
K,Yeah.,QC,F,SE1 11.30,
H,"OK, so this week we will research our tools- and yeah?",ELI,F,SE1 11.30,
K,Sounds good.,QC,F,SE1 11.30,
G,"And, and, sorry, can I share my screen? I created criteria of (inaudible) tool analysis and questions for Essi.",ELI,F,SE1 11.30,
H,OK.,QC,F,SE1 11.30,
G,"Uh, just put your criteria here.",EXT,F,SE1 11.30,
H,OK.,QC,F,SE1 11.30,
K,"Or I can, um, remember that, in my work we had to- we created and (inaudible) like E-education tools course and I can remember that we had a, a checklist for the… The benefit of educational tools, maybe I can find this.",CON,F,SE1 11.30,
G,"Yes, yes! It's really interesting because also we can, uh.
Make a reference to- to this article- or what, where you find this information.",INT,F,SE1 11.30,
K,"Yeah, I will have a look at it and then I will send it to you. I'll put it on teams and let you know then because I think they-",EXT,F,SE1 11.30,
G,Uh-huh.,QC,F,SE1 11.30,
K,had quite a few criteria that we can use.,EXT,F,SE1 11.30,
G,"Uh-huh. OK, and one more question regarding K, should we, uh, write the task for him here as well?",ELI,F,SE1 11.30,
K,"Yeah, maybe it's- it's good. And then I can also let him know again.",EXT,F,SE1 11.30,
G,To be in team as well. How to say?,ELI,F,SE1 11.30,
G,Read and... ,EXT,F,SE1 11.30,
K,"And uh, add the linking paragraph.",EXT,F,SE1 11.30,
G,"And add linked paragraph… It's wrong, no, paragraphs?",ELI,F,SE1 11.30,
A,No H.,EXT,,SE1 11.30,
G,Yes yes yes.,QC,,SE1 11.30,
K,"And have a look at the, uh, (inaudible).",EXT,F,SE1 11.30,
G,"Reference, I guess.",EXT,F,SE1 11.30,
K,Yeah.,QC,F,SE1 11.30,
G,Reference checking. So. Now everything is done?,ELI,R,SE1 11.30,
K,"I think so, so I have nothing to add.",QC,R,SE1 11.30,
G,"Oh, just- just fill FROCOLE after this meeting.",EXT,,SE1 11.30,
A,Yeah.,QC,,SE1 11.30,
H,OK. It seems like we’re good.,QC,R,SE1 11.30,
K,Mm-hmm,QC,R,SE1 11.30,
A,Sweet.,QC,R,SE1 11.30,
H,OK alright.,QC,R,SE1 11.30,
K,Then (inaudible) this evening and see you on Thursday.,EXT,F,SE1 11.30,
G,"Yes, yes (inaudible).",QC,F,SE1 11.30,
K,Yeah.,QC,F,SE1 11.30,
G,Bye bye.,EXT,OT,SE1 11.30,
K,Bye bye.,EXT,OT,SE1 11.30,
H,Bye.,EXT,OT,SE1 11.30,
H,"OK, um.",QC,,SE1 12.02,
G,"Now, it's good.",EXT,,SE1 12.02,
K,"Alright.  So, my Internet connection is quite bad today and it can be that sometimes I'm just a little bit frozen.",EXT,OT,SE1 12.02,
H,It's like…,EXT,OT,SE1 12.02,
K,"So don't worry, I’ll try then to reconnect.",EXT,OT,SE1 12.02,
G,"I have one question. I just absorbed an Excel file. The
great work from the sheet tools. Raised it all. Uh, who have done that- this?",ELI,P,SE1 12.02,
H,"(inaudible) Oh, do you want to share the- the page so it's easier?",ELI,P,SE1 12.02,
G,"Yes, yes this one.",QC,P,SE1 12.02,
H,"Oh, what I- I did is I copied this from the article at the bottom that had a- a table-",EXT,,SE1 12.02,
G,"Ah, OK, it's just- it's just a, it's just from one article?",ELI,P,SE1 12.02,
H,"Yes, so this article was analyzing different tools in some sense. But, umm, not- like some are more off, like, how do I say, like social regulation stuff.",QC,,SE1 12.02,
G,Mmm.,QC,,SE1 12.02,
K,Yeah.,QC,,SE1 12.02,
G,I thought that you analyzed all these articles.,EXT,P,SE1 12.02,
H,"Oh no, no no, I just copied from the bottom. There is a link at the bottom, yeah, this one. It's just what- regulating their emotions, but not on collaborative.",CON,P,SE1 12.02,
G,OK.,QC,P,SE1 12.02,
H,"Yeah, so I, I thought like the the- the- the first tab on
technological tools, those are a bit more relevant to
collaborative learning.",EXT,,SE1 12.02,
G,Yes.,QC,,SE1 12.02,
K,Yeah.,QC,,SE1 12.02,
H,"Yeah, that was (inaudible) ah, yeah, so ah. I haven't taken a look at the rubric, so we want to decide on the comparison rubric right?",ELI,F,SE1 12.02,
K,"Yeah, that would be a great idea.",QC,F,SE1 12.02,
G,Yes.,QC,F,SE1 12.02,
G,"But before we start a discussion, I want to ask K. In the last meeting I just briefly showed what we decided because you skipped this meeting.",CON,P,SE1 12.02,
KF,Yeah.,QC,P,SE1 12.02,
G,"Uh, in the working paper we decided to choose four tools.",EXT,P,SE1 12.02,
KF,OK.,QC,P,SE1 12.02,
G,"Just a moment. And share it between us. And for you, we offered just to read the whole article and make it more coherent and cohesive.",EXT,P,SE1 12.02,
H,"So do we let him, umm, remove any parts that's not relevant? Do we- are we going to have another copy of this or something? Do you want to… Because when he does the edits, he might remove some parts that are not, that might be too long winded or something.",ELI,F,SE1 12.02,
G,Uh-huh.,QC,F,SE1 12.02,
H,So do we-,ELI,F,SE1 12.02,
K,Maybe just a comment in the paper and then we can discuss it between us on next Monday.,EXT,F,SE1 12.02,
H,OK.,QC,F,SE1 12.02,
KF,"OK, but will you be sending me the articles or something like that?",ELI,F,SE1 12.02,
H,What articles are you referring to?,ELI,F,SE1 12.02,
KF,"You said- come again, tell me that task again, I didn't quite get it.",EXT,F,SE1 12.02,
G,"Uh, so-",EXT,F,SE1 12.02,
K,(inaudible) our article and all the other parts that we already write it- wrote there.,EXT,F,SE1 12.02,
KF,"OK, OK, you mean what you've already written.",QC,F,SE1 12.02,
K,Yeah.,QC,F,SE1 12.02,
KF,OK.,QC,F,SE1 12.02,
K,Check it for coherence and the citation.,EXT,F,SE1 12.02,
KF,"Oh OK, OK.",QC,F,SE1 12.02,
K,"If it makes sense, or is- if there's something missing or
something too much, uhm, you can comment it in this, in this paper and then we can-",EXT,F,SE1 12.02,
KF,"Oh, OK.",QC,F,SE1 12.02,
K,discuss about it on Monday.,EXT,F,SE1 12.02,
KF,OK alright alright.,QC,F,SE1 12.02,
H,"(inaudible) in the green and the pink highlights part like linking paragraph. So you create a linking paragraph to
combine two, two piece- like you're supposed to sort out everything into a paper.",EXT,F,SE1 12.02,
KF,Alright alright.,QC,F,SE1 12.02,
G,"Uh, we- we just divide the task between us and firstly we choose four tools, not five. That's why we assign for you this more specific or different task.",EXT,F,SE1 12.02,
KF,"OK, OK, no problem.",QC,F,SE1 12.02,
G,If it's OK for you?,ELI,F,SE1 12.02,
KF,"Oh yeah, I'm good.",QC,F,SE1 12.02,
G,And then this is just… small protocol how we do it.  And thank you K for sharing this. ,EXT,F,SE1 12.02,
K,"Yeah, you're welcome.",QC,,SE1 12.02,
G,"Yeah yeah you- you- you, your rubric there (inaudible). ",QC,,SE1 12.02,
K,"Like you said, it's four e-learning tools, but maybe we can have some inspiration there. Or… yeah. ",EXT,,SE1 12.02,
G,"Uh.  As I see it, there are a lot of criteria, (inaudible), maybe more than 15?",ELI,,SE1 12.02,
K,"Yeah, it doesn't fit for all of them, so but.",CON,,SE1 12.02,
G,"Yes, that's why I thought maybe when we analyze, we use this, uh, rubric. I think it's really good, but just fill, uh, any elements that we can find or observe.",INT,F,SE1 12.02,
K,What do you mean by this?,ELI,F,SE1 12.02,
G,"For example, in a mode, I don't know exactly, but I imagine. I just go through this criteria scale is to use tech support and, uh, if I can't find scale, I just, uh, put some not available information, not development information. Next criteria. Easy to use? Yes, and put some argumentation. It works well because blah blah blah or next-",EXT,F,SE1 12.02,
K,Uh-huh.,QC,F,SE1 12.02,
G,"... criteria, check support. For me it's minor concerns because blah blah blah and the following criteria, accessibility.  Ah, I can't answer. I can't find answer to this. I put again not available, not available.",EXT,F,SE1 12.02,
K,"Mhm, mhm.",QC,F,SE1 12.02,
G,"Maybe some- might begin put in the Excel format, fill for each four tools. And if it's needed in the end, uh, we can delete some criteria if it's not applicable at all for four each tool.",EXT,F,SE1 12.02,
K,Yeah.,QC,F,SE1 12.02,
G,"Or just mention it in the text. For example, as we analyzed four tools, uh, we notice that the technical side are not covered, blah blah blah, something like that.  I'm sorry it's my just- my- just my suggestion.",EXT,F,SE1 12.02,
K,"Uh, sorry I- I- my connection was bad. I didn't hear you at all.",EXT,OT,SE1 12.02,
G,(inaudible) OK. OK.,QC,,SE1 12.02,
H,"I think, like, in summary, what G mentioned was that she was- she suggested that we can take this whole excel of this whole sheets of- this whole excel sheet or- this whole or this rubric and she will go through each tool using this rubric.",INT,P,SE1 12.02,
G,Yes.,QC,P,SE1 12.02,
K,"Mhm, yeah.",QC,P,SE1 12.02,
H,"And I think there is good and bad about it. I said I think it can be, or- it can be a starting off point for us. But I think we need to look at what our focus was. The focus we want.",CON,P,SE1 12.02,
K,Yeah.,QC,P,SE1 12.02,
H,"Because some of the things are more on the technological parts, like-",CON,P,SE1 12.02,
K,Yeah.,QC,P,SE1 12.02,
H,"Umm, how is it- No, what was the thing? Like the technology (inaudible) support and availability, so that's more like, um, involving- of course, it is important in terms of like your application, but so what? What is it that we want to look at is an important thing to (inaudible).",CON,P,SE1 12.02,
G,Ah.,QC,P,SE1 12.02,
H,Because we are looking at how it supports the emotional-,CON,P,SE1 12.02,
G,"Emotion regulation, yes.",QC,P,SE1 12.02,
H,"cause if it's not user friendly, nobody will use it and that affects the second point.",CON,,SE1 12.02,
G,Uh-huh.,QC,,SE1 12.02,
K,Yeah.,QC,,SE1 12.02,
H,"So we probably need a category about, um, the supporting
emotional regulation part.",EXT,F,SE1 12.02,
